City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,9.76,81,99,1.34,US,1697415567
1,plettenberg bay,-34.0527,23.3716,14.75,93,19,0.59,ZA,1697415729
2,olonkinbyen,70.9221,-8.7187,0.34,70,98,3.45,SJ,1697415729
3,howard springs,-12.497,131.047,31.95,39,17,0.82,AU,1697415730
4,edinburgh of the seven seas,-37.0676,-12.3116,11.77,69,77,11.85,SH,1697415730
5,beolgyo,34.8449,127.3429,17.55,68,18,4.9,KR,1697415730
6,souillac,-20.5167,57.5167,20.21,88,20,2.57,MU,1697415730
7,tura,25.5198,90.2201,19.68,84,6,1.59,IN,1697415731
8,port elizabeth,-33.918,25.5701,17.16,96,75,4.63,ZA,1697415731
9,waitangi,-43.9535,-176.5597,13.23,66,4,4.47,NZ,1697415731
10,nola,40.922,14.5329,20.91,86,90,1.15,IT,1697415732
11,raduzhnyy,62.0961,77.475,1.32,93,60,2.83,RU,1697415591
12,hermanus,-34.4187,19.2345,16.73,83,38,5.77,ZA,1697415732
13,korla,41.7597,86.1469,12.53,34,38,4.84,CN,1697415732
14,invercargill,-46.4,168.35,10.41,72,100,4.6,NZ,1697415585
15,blackmans bay,-43.0167,147.3167,13.07,64,38,0.89,AU,1697415733
16,adamstown,-25.066,-130.1015,22.07,79,59,2.48,PN,1697415733
17,bharatpur,27.2167,77.4833,26.37,42,58,0.49,IN,1697415733
18,flying fish cove,-10.4217,105.6791,25.82,94,100,4.63,CX,1697415734
19,ilulissat,69.2167,-51.1,-5.99,86,100,9.26,GL,1697415734
20,shimoda,34.6667,138.95,22.2,68,0,1.36,JP,1697415734
21,oltinko'l,40.8011,72.1634,10.8,31,32,0.57,UZ,1697415734
22,puerto natales,-51.7236,-72.4875,4.3,93,57,3.47,CL,1697415735
23,pombas,17.1503,-25.0201,26.03,70,100,2.65,CV,1697415735
24,bethel,41.3712,-73.414,11.47,80,100,2.06,US,1697415735
25,idfu,24.9803,32.8747,24.14,32,0,3.79,EG,1697415736
26,port-aux-francais,-49.35,70.2167,1.41,70,100,11.22,TF,1697415736
27,susuman,62.7833,148.1667,-9.45,83,100,0.89,RU,1697415736
28,sitka,57.0531,-135.33,12.94,88,75,1.54,US,1697415737
29,kodiak,57.79,-152.4072,8.73,93,100,6.69,US,1697415737
30,guatire,10.4762,-66.5427,23.53,93,69,0.64,VE,1697415737
31,conceicao do mato dentro,-19.0372,-43.425,22.38,80,75,1.58,BR,1697415737
32,kirakira,-10.4544,161.9205,29.25,74,100,1.9,SB,1697415738
33,lihue,21.9789,-159.3672,30.58,64,75,8.23,US,1697415738
34,adam,22.3756,57.5233,24.54,72,75,2.41,OM,1697415738
35,hualien city,23.9769,121.6044,24.16,80,85,3.69,TW,1697415738
36,haiku-pauwela,20.9219,-156.3051,28.98,68,40,11.83,US,1697415739
37,college,64.8569,-147.8028,5.67,90,75,0.0,US,1697415652
38,hammerfest,70.6634,23.6821,4.25,93,100,8.75,NO,1697415739
39,tazovsky,67.4667,78.7,1.35,98,100,2.06,RU,1697415740
40,peace river,56.2501,-117.286,14.17,62,75,3.6,CA,1697415740
41,vorgashor,67.5833,63.95,-0.82,98,100,5.81,RU,1697415740
42,grytviken,-54.2811,-36.5092,0.36,88,79,4.87,GS,1697415740
43,constantia,44.1833,28.65,13.38,62,34,7.87,RO,1697415740
44,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,88,75,3.0,RU,1697415741
45,kiunga,-6.1219,141.2906,25.89,87,100,1.1,PG,1697415741
46,port mathurin,-19.6833,63.4167,23.73,81,20,4.26,MU,1697415741
47,thompson,55.7435,-97.8558,6.09,87,20,0.0,CA,1697415606
48,isafjordur,66.0755,-23.124,2.78,98,100,4.9,IS,1697415742
49,wailua homesteads,22.0669,-159.378,30.24,65,75,8.23,US,1697415742
50,ushuaia,-54.8,-68.3,4.81,65,40,11.18,AR,1697415688
51,cidreira,-30.1811,-50.2056,18.44,86,25,10.62,BR,1697415743
52,afaahiti,-17.75,-149.2833,26.93,77,34,3.26,PF,1697415744
53,ciudad lazaro cardenas,17.9583,-102.2,28.25,83,98,1.38,MX,1697415562
54,cozumel,20.5083,-86.9458,30.04,83,40,1.79,MX,1697415451
55,papao,-17.75,-149.55,27.82,78,17,4.56,PF,1697415745
56,umm kaddadah,13.6017,26.6876,30.53,20,100,7.18,SD,1697415745
57,nagqu,31.5,92.0,-3.76,89,87,1.73,CN,1697415745
58,codrington,-38.2667,141.9667,12.54,51,95,10.16,AU,1697415745
59,qaqortoq,60.7167,-46.0333,2.48,91,94,1.05,GL,1697415746
60,margaret river,-33.95,115.0667,19.42,51,100,5.3,AU,1697415746
61,geraldton,-28.7667,114.6,31.23,11,58,8.75,AU,1697415716
62,recani,31.2846,-4.2688,21.93,27,4,0.39,MA,1697415746
63,jamestown,42.097,-79.2353,7.23,98,100,3.6,US,1697415535
64,santa luzia,-19.7697,-43.8514,23.76,69,0,3.6,BR,1697415747
65,axim,4.8699,-2.2405,25.2,89,90,3.63,GH,1697415747
66,grand falls-windsor,48.9332,-55.6649,8.06,90,100,2.12,CA,1697415747
67,coahuayana de hidalgo,18.7,-103.6583,27.73,84,92,0.62,MX,1697415748
68,aitape,-3.1374,142.3475,28.44,76,46,1.68,PG,1697415748
69,hawaiian paradise park,19.5933,-154.9731,30.02,71,0,4.12,US,1697415748
70,bilibino,68.0546,166.4372,-10.58,94,99,0.27,RU,1697415543
71,kingston,17.997,-76.7936,29.53,89,20,2.57,JM,1697415626
72,kapuskasing,49.4169,-82.4331,6.05,87,100,4.63,CA,1697415749
73,uliastay,47.7417,96.8444,-1.03,67,16,1.43,MN,1697415749
74,papatowai,-46.5619,169.4708,12.03,59,92,4.03,NZ,1697415750
75,bikenibeu village,1.3673,173.1241,28.13,72,100,3.4,KI,1697415750
76,conceicao da barra,-18.5933,-39.7322,24.26,85,27,1.96,BR,1697415750
77,hastings,50.8552,0.5729,6.62,40,100,3.56,GB,1697415750
78,ponta delgada,37.7333,-25.6667,21.77,100,75,15.43,PT,1697415751
79,lebu,-37.6167,-73.65,9.96,72,3,8.14,CL,1697415751
80,longyearbyen,78.2186,15.6401,-1.09,69,75,7.2,SJ,1697415751
81,xining,36.6167,101.7667,4.94,47,1,1.32,CN,1697415751
82,ashland,40.8167,-82.2665,8.98,87,89,4.64,US,1697415752
83,nova sintra,14.8667,-24.7167,24.83,71,88,4.97,CV,1697415752
84,sultanah,24.4926,39.5857,28.25,16,0,2.06,SA,1697415752
85,malango,-2.9627,119.9001,24.5,71,33,1.39,ID,1697415752
86,whitehorse,60.7161,-135.0538,9.43,67,20,6.71,CA,1697415753
87,bollnas,61.3482,16.3946,3.27,65,32,5.21,SE,1697415753
88,tiksi,71.6872,128.8694,-8.48,90,100,7.19,RU,1697415753
89,toliara,-23.35,43.6667,21.49,81,37,2.99,MG,1697415753
90,gizo,-8.103,156.8419,28.79,74,90,5.0,SB,1697415754
91,vernon,50.2581,-119.2691,18.2,66,71,1.03,CA,1697415754
